Order,praatword,distance,surprisal
618,'s,10,1.363598
619,about,7,5.505059
620,the,7,2.159751
621,right,13,4.794478
622,distance,13,8.061258
623,but,13,5.202671
624,then,9,4.724882
625,i,10,1.487432
626,wonder,11,6.708863
627,what,11,1.636988
628,latitude,13,15.591321
629,or,14,5.051190
630,longitude,13,9.578208
631,i,14,2.295258
632,'ve,15,2.726628
633,got,14,2.556506
634,to,15,1.885623
635,alice,9,10.933557
636,had,10,5.052755
637,no,9,3.500634
640,idea,12,1.885247
641,what,12,2.320729
642,latitude,14,12.960357
643,was,15,2.813707
644,or,15,8.801106
645,longitude,15,16.171662
646,either,16,8.774130
647,but,16,5.411763
649,thought,16,9.133419
650,they,16,4.044713
651,were,18,1.460670
652,nice,19,8.547025
653,grand,19,12.506760
654,words,20,7.750801
655,to,19,4.272084
656,say,22,4.353210
657,presently,9,11.342762
658,she,10,4.800989
659,began,10,6.788262
660,again,12,7.698650
661,i,9,3.761499
662,wonder,11,6.945232
663,if,11,1.527257
664,i,12,1.971529
665,shall,14,7.643561
666,fall,14,7.364270
667,right,15,5.799222
668,through,16,4.494204
669,the,11,1.608925
670,earth,18,7.911343
671,how,9,6.868405
672,funny,11,8.015506
673,it,11,3.941057
674,'ll,13,7.276940
675,seem,13,5.746906
676,to,13,2.232169
677,come,16,4.341414
678,out,17,3.211316
679,among,18,8.555271
680,the,8,1.195869
681,people,18,4.470130
682,that,15,4.089293
683,walk,21,8.161267
684,with,22,4.443851
685,their,23,3.192140
686,heads,24,4.576153
687,downward,24,13.237960
688,the,9,1.905008
689,antipathies,5,3.726469
690,i,10,7.984596
691,think,13,3.237582
692,she,13,5.428567
693,was,16,2.739560
694,rather,16,9.357428
695,glad,15,7.153868
696,there,16,5.418291
697,was,18,0.578954
698,no,11,1.611873
699,one,17,3.734017
700,listening,19,7.728746
701,this,22,6.912116
702,time,21,2.792815
703,as,17,4.888647
704,it,21,3.695444
705,did,24,3.333237
706,n't,23,3.146250
707,sound,23,4.687347
708,at,23,5.828311
709,all,21,2.019001
710,the,11,3.986949
711,right,26,5.465268
712,word,26,6.991455
713,but,26,5.109475
714,i,19,1.854669
715,shall,11,8.359941
716,have,11,2.688477
717,to,12,1.983148
718,ask,14,4.722844
719,them,15,2.843844
720,what,16,3.051478
721,the,11,3.259828
722,name,9,6.256657
723,of,18,2.028099
724,the,7,1.266965
725,country,20,5.068569
726,is,20,0.970412
727,you,18,7.124912
728,know,19,3.638907
729,please,9,8.179217
730,ma'am,6,5.189424
731,is,11,5.887768
732,this,11,6.282335
733,new,12,5.459059
734,zealand,13,5.811136
735,or,13,4.950172
736,australia,9,5.861814
737,and,9,4.263463
738,she,10,4.467902
739,tried,10,6.751161
740,to,11,0.194003
741,curtsey,9,3.439686
742,as,14,5.717946
743,she,15,2.672323
744,spoke,15,3.604088
745,fancy,17,14.463575
746,curtseying,11,3.640834
747,as,15,4.221329
748,you,17,7.194281
749,'re,18,4.138617
750,falling,19,7.531646
751,through,20,4.317061
752,the,12,1.257719
753,air,22,4.843921
754,do,9,7.126374
755,you,11,1.711174
756,think,12,2.216017
757,you,9,2.235882
758,could,14,3.732806
759,manage,14,7.094619
760,it,15,2.292110
761,and,9,4.263463
762,what,9,4.137989
763,an,10,6.967336
764,ignorant,10,10.125056
765,little,12,6.360430
766,girl,11,3.873256
767,she,11,6.750528
768,'ll,12,4.872302
769,think,13,5.493412
770,me,16,7.758424
771,for,15,4.172027
772,asking,15,9.290491
773,no,9,5.900614
774,it,10,5.321580
775,'ll,12,5.224998
776,never,12,4.413214
777,do,13,4.518457
778,to,13,4.540707
779,ask,15,6.482777
780,perhaps,16,9.718910
781,i,16,4.661984
782,shall,18,7.608748
783,see,17,4.207633
784,it,14,2.574368
785,written,19,9.881742
786,up,14,4.306541
787,somewhere,15,8.347242
788,down,9,10.087864
789,down,11,5.653337
790,down,12,6.650736
791,there,9,4.681178
792,was,10,1.864803
793,nothing,10,4.023597
794,else,12,3.302579
795,to,13,2.773586
796,do,15,1.456610
797,so,16,4.671519
798,alice,17,12.016530
799,soon,12,9.523712
800,began,12,4.516352
801,talking,12,4.351864
802,again,14,6.434545
803,dinah,8,3.399677
804,'ll,11,10.884963
805,miss,12,5.133525
806,me,12,6.717623
807,very,13,6.514647
808,much,14,1.696842
809,to-night,10,3.947693
810,i,14,7.525742
811,should,17,5.686486
812,think,17,4.160004
813,dinah,8,3.399677
814,was,11,3.446450
815,the,8,2.527876
816,cat,10,10.153802
817,i,9,3.761499
818,hope,11,4.104958
819,they,11,3.505397
820,'ll,14,2.344215
821,remember,14,6.895303
822,her,15,6.222967
823,saucer,16,15.087580
824,of,17,6.975680
825,milk,18,10.453966
826,at,15,5.513357
828,time,6,2.484179
829,dinah,8,3.399677
830,my,11,9.616452
831,dear,12,8.165204
832,i,9,3.761499
833,wish,11,5.590392
834,you,11,3.848034
835,were,13,2.869331
836,down,14,6.340489
837,here,15,3.782859
838,with,16,4.092800
839,me,16,3.803023
840,there,9,4.681177
841,are,10,1.518272
842,no,9,2.299162
843,mice,12,11.111181
844,in,12,2.429515
845,the,8,0.710084
846,air,14,5.083806
847,i,14,6.268210
848,'m,17,1.966322
849,afraid,17,4.719264
850,but,16,4.930136
851,you,9,2.641581
852,might,13,4.787982
853,catch,13,8.202739
854,a,8,2.569428
855,bat,14,8.608258
856,and,14,2.956739
857,that,9,4.956393
858,'s,15,0.599856
859,very,12,4.823584
860,like,13,8.885344
861,a,11,4.082879
862,mouse,15,6.456771
863,you,15,5.086097
864,know,18,3.749872
865,but,9,3.255169
866,do,9,6.961102
867,cats,12,11.903377
868,eat,10,6.831821
869,bats,10,8.941243
870,i,11,8.741824
871,wonder,14,6.254000
872,and,9,4.263463
873,here,10,6.648896
874,alice,10,10.540080
875,began,11,6.371477
876,to,12,1.433180
877,get,14,4.183873
878,rather,15,9.034557
879,sleepy,14,8.295397
880,and,14,3.206377
881,went,14,11.398948
882,on,17,2.655039
