Order,praatword,distance,surprisal
987,alice,9,8.441504
988,was,10,2.191757
989,not,8,2.653321
990,a,6,2.625022
991,bit,12,2.886176
992,hurt,12,5.383798
993,and,13,2.431091
994,she,13,1.532956
995,jumped,12,8.632213
996,up,12,1.635701
997,onto,13,4.375381
998,her,8,1.641657
999,feet,15,1.567426
1000,in,15,4.241907
1001,a,6,1.592886
1002,moment,16,2.642644
1003,she,14,4.656794
1004,looked,16,4.045049
1005,up,16,2.050544
1006,but,16,5.409625
1007,it,9,3.362919
1008,was,12,0.600642
1009,all,7,4.027019
1010,dark,12,5.261992
1011,overhead,13,10.615648
1012,before,14,5.693375
1013,her,9,2.119975
1014,was,14,5.705092
1015,another,15,6.962119
1016,long,16,6.273701
1017,passage,17,5.736090
1018,and,14,3.449136
1019,the,7,2.326275
1020,white,17,6.050464
1021,rabbit,17,8.017279
1022,was,17,2.163791
1023,still,12,4.356032
1024,in,13,2.797683
1025,sight,13,2.725881
1026,hurrying,14,9.959220
1027,down,14,2.962167
1028,it,15,5.882952
1029,there,9,4.022244
1030,was,11,0.864548
1031,not,9,3.486040
1032,a,6,1.057486
1033,moment,12,3.729539
1034,to,11,1.440351
1035,be,15,2.294179
1036,lost,16,5.585976
1037,away,17,7.001725
1038,went,18,11.901152
1039,alice,18,11.378540
1040,like,19,6.333184
1041,the,8,2.285603
1042,wind,22,4.892861
1043,and,17,2.904234
1044,was,9,7.887016
1045,just,9,5.618448
1046,in,10,3.518395
1047,time,12,1.310011
1048,to,10,1.181887
1049,hear,15,3.965325
1050,it,13,3.531612
1051,say,17,5.246521
1052,as,15,4.256783
1053,it,17,3.038570
1054,turned,21,5.239200
1055,a,9,4.447021
1056,corner,22,1.769098
1057,oh,19,9.803800
1058,my,15,4.917108
1059,ears,20,9.684956
1060,and,13,3.614277
1061,whiskers,9,9.655714
1062,how,18,7.320550
1063,late,13,6.990570
1064,it,11,2.031319
1065,'s,14,4.854549
1066,getting,15,4.192497
1067,she,9,2.399769
1068,was,10,1.994084
1069,close,11,7.613246
1070,behind,12,4.297088
1071,it,13,4.365043
1072,when,14,3.890569
1073,she,10,0.867000
1074,turned,14,4.357129
1075,the,9,2.814119
1076,corner,15,1.382965
1077,but,15,3.948275
1078,the,7,2.284673
1079,rabbit,16,8.595624
1080,was,16,1.463473
1081,no,8,5.528891
1082,longer,13,1.022076
1083,to,13,3.998512
1084,be,14,0.579167
1085,seen,16,0.460245
1086,she,16,5.459344
1087,found,18,4.636281
1088,herself,18,1.850938
1089,in,13,2.780370
1090,a,6,1.268588
1091,long,14,4.686533
1092,low,14,3.710056
1093,hall,15,3.519033
1094,which,14,3.451697
1095,was,10,1.386639
1096,lit,16,6.624390
1097,up,18,1.105432
1098,by,19,1.075158
1099,a,5,0.965793
1100,row,20,4.798750
1101,of,20,0.223264
1102,lamps,21,6.406324
1103,hanging,22,6.110256
1104,from,23,3.141966
1105,the,9,0.624295
1106,roof,25,4.522588
1107,there,9,4.022244
1108,were,11,2.028175
1109,doors,11,8.171091
1110,all,10,6.426015
1111,round,13,3.632609
1112,the,7,1.856984
1113,hall,14,4.585574
1114,but,14,3.788379
1115,they,9,2.883726
1116,were,11,1.196172
1117,all,8,3.021079
1118,locked,12,6.276161
1119,and,12,2.154462
1120,when,12,4.397627
1121,alice,14,8.128545
1122,had,10,2.672828
1123,been,12,3.392619
1124,all,10,6.827776
1125,the,8,2.639991
1126,way,15,2.340485
1127,down,15,3.548990
1128,one,11,6.523068
1129,side,16,2.808075
1130,and,16,5.050923
1131,up,16,6.176972
1132,the,7,3.131765
1133,other,17,5.163617
1134,trying,18,10.717175
1135,every,18,8.018678
1136,door,16,6.270802
1137,she,13,2.034777
1138,walked,12,5.369063
1139,sadly,12,10.684571
1140,down,13,2.983593
1141,the,6,0.381209
1142,middle,14,7.763963
1143,wondering,14,8.384152
1144,how,6,2.258514
1145,she,13,1.326775
1146,was,17,2.931393
1147,ever,17,3.188630
1148,to,13,2.389475
1149,get,19,2.485917
1150,out,20,2.784944
1151,again,21,3.747625
1152,suddenly,9,6.732835
1153,she,10,1.454273
1154,came,12,4.298260
1155,upon,13,4.131866
1156,a,7,2.313955
1157,little,13,3.252421
1159,legged,13,4.325882
1160,table,13,7.413908
1161,all,13,7.760301
1162,made,13,7.467393
