praatword,parsedword,lstm256Surprisal,k_10distance,k_10surprisal,k_10entropy,k_10Hdelta,k_20distance,k_20surprisal,k_20entropy,k_20Hdelta,k_40distance,k_40surprisal,k_40entropy,k_40Hdelta,k_60distance,k_60surprisal,k_60entropy,k_60Hdelta,k_80distance,k_80surprisal,k_80entropy,k_80Hdelta,k_100distance,k_100surprisal,k_100entropy,k_100Hdelta
what,what,4.53382492065,12,4.833044,1.572245,0.022038,12,4.805254,1.893567,0.191289,12,4.796815,2.069035,0.194295,12,4.785586,2.19487,0.276322,12,4.779679,2.246178,0.301936,12,4.774406,2.28955,0.325071
latitude,UNK,4.54354715347,6,3.538891,2.126002,0.553757,6,3.517149,2.347594,0.454027,6,3.508196,2.551185,0.48215,6,3.500466,2.650477,0.455607,6,3.493578,2.703431,0.457253,7,3.491204,2.755879,0.466329
was,was,6.55142974854,15,5.905219,1.149397,-0.976605,15,5.145937,2.032854,-0.31474,15,5.086123,2.306499,-0.244686,16,5.011021,2.593977,-0.0565,16,4.95896,2.811786,0.108355,16,4.931602,2.936905,0.181026
or,or,6.22099256516,16,6.592005,1.453207,0.30381,16,6.719742,2.246483,0.213629,16,6.71124,2.531612,0.225113,16,6.276632,2.806648,0.212671,16,6.209758,3.119247,0.307461,16,6.210407,3.24381,0.306905
longitude,UNK,3.15971565247,7,3.279355,2.782976,1.32977,7,3.388697,3.486156,1.23967,8,3.209846,3.682855,1.15124,7,3.229654,4.00372,1.19707,7,3.250868,4.313866,1.19462,7,3.237607,4.457759,1.21395
either,either,8.60336017609,16,10.116868,1.268746,-1.51423,16,10.003697,1.980213,-1.50594,16,9.694818,2.692867,-0.989988,16,9.04397,2.942826,-1.06089,16,8.981223,3.242243,-1.07162,16,8.936163,3.445342,-1.01242
but,but,4.43587589264,16,4.00297,1.944303,0.675557,16,4.534558,2.291121,0.310908,17,4.755896,2.930905,0.238038,17,5.021597,3.179393,0.236567,17,4.97309,3.459492,0.217249,17,5.012767,3.609783,0.164441
she,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
thought,thought,6.8267788887,16,8.557238,1.544546,-0.399757,17,8.312787,2.293319,0.002198,17,8.245897,2.934455,0.00355,17,8.131526,3.365499,0.186106,17,8.096217,3.683781,0.224289,17,8.064629,3.851556,0.241773
they,they,3.58605384827,15,6.899059,2.92755,1.383,15,6.017893,3.084674,0.791355,15,6.176531,3.513497,0.579042,15,5.942333,4.089906,0.724407,15,5.976774,4.350811,0.66703,15,5.987361,4.481187,0.629631
were,were,1.9311914444,12,3.193579,2.146182,-0.781368,12,3.205061,2.426584,-0.65809,12,3.229066,2.871496,-0.642001,17,3.213278,3.51046,-0.579446,17,3.209892,3.809941,-0.54087,17,3.22289,3.91969,-0.561497
nice,nice,10.775604248,14,11.843505,1.249355,-0.896827,14,11.340054,1.759719,-0.666865,14,11.237207,2.379621,-0.491875,19,11.373788,2.844725,-0.665735,19,11.394523,3.114981,-0.69496,19,11.345034,3.312317,-0.607373
grand,grand,7.66473293304,12,8.832024,0.86135,-0.388005,15,8.57975,1.710663,-0.049056,15,8.578707,2.332038,-0.047583,15,8.580993,2.782549,-0.062176,19,8.576466,3.050995,-0.063986,20,8.57929,3.254578,-0.057739
words,words,6.22864437103,13,6.242022,0.420634,-0.440716,16,6.358634,1.102293,-0.60837,16,6.29961,1.842626,-0.489412,16,6.359279,2.17053,-0.612019,16,6.330921,2.500828,-0.550167,21,6.33931,2.690896,-0.563682
to,to,4.92509222031,14,4.095394,1.889138,1.4685,15,3.937249,2.569273,1.46698,16,3.871399,3.196168,1.35354,15,3.936061,3.64084,1.47031,15,3.899713,3.92366,1.42283,18,3.899686,4.115,1.4241
