AUDIOTEXT,Trigger,segment,tmin,Order,tmax,cfg.bu,islexical,wordlength,logfreq
this,1,1,54.368436,167,54.737701,12,0,0.3232,14.99
but,1,1,54.691701,168,54.869402,1,0,0.1317,14.57
at,1,1,54.823402,169,55.096885,1,0,0.2275,14.5
the,1,1,55.050885,170,55.192667,1,0,0.0958,16.96
time,1,1,55.146667,171,55.672219,3,1,0.4795,13.58
it,1,1,55.626219,172,55.780441,2,0,0.1083,15.37
all,1,1,55.734441,173,55.931951,2,0,0.1515,14.35
seemed,1,1,55.885951,174,56.241464,1,1,0.3095,10.54
quite,1,1,56.195464,175,56.485728,1,1,0.2442,11.95
natural,1,1,56.439728,176,57.103561,6,1,0.6179,10.72
but,1,2,0.479839572,177,0.577701,1,0,0.1277,14.57
when,1,2,0.592424402,178,0.796083,2,0,0.2184,13.76
the,1,2,0.810806402,179,0.898229,1,0,0.1021,16.96
Rabbit,1,2,0.912952402,180,1.401087,2,1,0.5029,8.66
actually,1,2,1.415810402,181,1.903944,2,1,0.5028,12.19
took,1,2,1.918667402,182,2.2751,1,1,0.3712,11.38
a,1,2,2.385605402,183,2.543054,1,0,0.1721,16.18
watch,1,2,2.557777402,184,3.101223,2,1,0.5582,10.95
out,1,2,3.211728402,185,3.41708,2,0,0.2201,13.9
of,1,2,3.431803402,186,3.580495,1,0,0.1634,16.21
its,1,2,3.595218402,187,3.776048,1,0,0.1955,12.87
waistcoat,1,2,3.790771402,188,4.370184,1,1,0.5942,4.078
pocket,1,2,4.384907402,189,5.124992,4,1,0.7548,9.28
and,1,2,5.637331402,190,5.732994,1,0,0.1104,16.19
looked,1,2,5.747717402,191,6.058501,1,1,0.3255,11.07
at,1,2,6.073224402,192,6.271534,1,0,0.213,14.5
it,1,2,6.286257402,193,6.465576,4,0,0.1941,15.37
and,1,2,6.887374402,194,6.97822,1,0,0.1056,16.19
then,1,2,6.992943402,195,7.136052,2,0,0.1578,13.47
hurried,1,2,7.150775402,196,7.5265,1,1,0.3905,6.41
on,1,2,7.541223402,197,8.034012,6,0,0.5075,15.08
Alice,1,2,8.467782402,198,8.931971,2,1,0.479,8.65
started,1,2,8.946694402,199,9.351018,1,1,0.419,11.5
to,1,2,9.365741402,200,9.542583,1,0,0.1916,16.35
her,1,2,9.557306402,201,9.681465,1,0,0.1389,13.3
feet,1,2,9.696188402,202,10.04544,3,1,0.3639,10.6
for,1,2,10.1080544,203,10.310964,1,0,0.2177,15.42
it,1,2,10.3256874,204,10.427843,2,0,0.1168,15.37
flashed,1,2,10.4425664,205,10.835644,1,1,0.4078,6.98
across,1,2,10.8503674,206,11.29061,1,0,0.455,11.04
her,1,2,11.3053334,207,11.362447,1,0,0.0718,13.3
mind,1,2,11.3771704,208,11.865304,3,1,0.5029,11.78
that,1,2,12.1913204,209,12.300328,1,0,0.1237,15.48
she,1,2,12.3150514,210,12.413114,2,0,0.2205,13.1
’d,1,2,12.4278374,211,12.520772,1,0,0,13.53
never,1,2,12.5354954,212,12.894136,2,1,0.3733,12.62
before,1,2,12.9096874,213,13.306232,2,1,0.4112,12.75
seen,1,2,13.3209554,214,13.735871,1,1,0.4297,11.99
a,1,2,13.7505944,215,13.816869,1,0,0.081,16.18
rabbit,1,2,13.8315924,216,14.188025,2,1,0.3711,8.66
with,1,2,14.2027484,217,14.35666,1,0,0.1686,14.97
either,1,2,14.3713834,218,14.74165,1,0,0.385,12.17
a,1,2,14.7563734,219,14.842296,1,0,0.1007,16.18
waistcoat,1,2,14.8570194,220,15.277549,1,1,0.4352,4.078
pocket,1,2,15.2922724,221,15.828297,2,1,0.5508,9.28
or,1,2,15.8430204,222,16.110249,1,0,0.2819,14.78
a,1,2,16.1249724,223,16.163535,1,0,0.0533,16.18
watch,1,2,16.1782584,224,16.57061,4,1,0.4071,10.95
to,1,2,16.5853334,225,16.690338,1,0,0.1197,16.35
take,1,2,16.7050614,226,16.965712,1,1,0.2754,12.71
out,1,2,16.9804354,227,17.166919,2,0,0.2012,13.9
of,1,2,17.1816424,228,17.302196,1,0,0.1353,16.21
it,1,2,17.3169194,229,17.540406,16,0,0.2382,15.37
and,1,2,18.0100954,230,18.258774,1,0,0.2634,16.19
burning,1,2,18.2734974,231,18.641903,1,1,0.3831,9.2
with,1,2,18.6566264,232,18.802522,1,0,0.1606,14.97
curiosity,1,2,18.8172454,233,19.803263,5,1,1.0008,8.44
she,1,2,20.0813884,234,20.282175,2,0,0.2155,13.1
ran,1,2,20.2968984,235,20.533604,1,1,0.2514,10.34
across,1,2,20.5483274,236,20.928706,1,0,0.3951,11.04
the,1,2,20.9434294,237,21.024488,1,0,0.0958,16.96
field,1,2,21.0392114,238,21.395644,3,1,0.3711,11.29
after,1,2,21.4103674,239,21.851849,1,1,0.4562,12.93
it,1,2,21.8665724,240,21.994284,6,0,0.1425,15.37
and,1,2,22.4041094,241,22.583024,1,0,0.1936,16.19
fortunately,1,2,22.5977474,242,23.359182,2,,0.7762,8.927
