Word,Trigger,Segment,onset,offset,Order,LogFreq,LogFreq_Prev,LogFreq_Next,SndPower,Length,Position,Sentence,IsLexical,NGRAM,RNN,CFG
the,1,7,33.15885219,33.190795,1248,16.96,11.69,12.57,0.00097601,0.03194281,14,51,0,2.991921114,2.762561394,4.451208208
little,1,7,33.24266119,33.514061,1249,12.57,16.96,9.77,0.00016559,0.27139981,15,51,1,2.447845765,1.89508246,4.278561179
golden,1,7,33.56592719,33.89719,1250,9.77,12.57,11.47,1.08E-06,0.33126281,16,51,1,3.237331874,3.580840498,4.264677355
key,1,7,33.94905619,34.156458,1251,11.47,9.77,15.9,0.022495,0.20740181,17,51,1,0.705457938,1.408566025,4.039309783
in,1,7,34.20832419,34.268347,1252,15.9,11.47,16.96,9.84E-05,0.06002281,18,51,0,2.119439953,2.136362549,2.220264833
the,1,7,34.32021319,34.340183,1253,16.96,15.9,9.81,0.00025874,0.01996981,19,51,0,1.551038125,1.570782213,4.371338969
lock,1,7,34.39204919,34.807122,1254,9.81,16.96,16.19,4.51E-05,0.41507281,20,51,1,0.824339779,0.971041882,3.466550273
and,1,7,35.06252519,35.190251,1255,16.19,9.81,16.35,0.0001438,0.12772581,21,51,0,3.148749339,2.854749946,8.740181606
to,1,7,35.24211719,35.321952,1256,16.35,16.19,13.3,0.015906,0.07983481,22,51,0,7.983523352,6.144745579,3.383597277
her,1,7,35.37381819,35.501544,1257,13.3,16.35,12.47,0.00031581,0.12772581,23,51,0,2.451038138,6.888250725,7.019442507
great,1,7,35.55341019,36.100183,1258,12.47,13.3,8.07,2.89E-06,0.54677281,24,51,1,1.586406693,3.388899402,4.374891642
delight,1,7,36.15204919,36.555149,1259,8.07,12.47,15.37,0.00049798,0.40309981,25,51,1,0.601837035,0.82596322,3.396496883
it,1,7,36.60701519,36.758687,1260,15.37,8.07,7.94,0.0046812,0.15167181,26,51,0,3.771517843,3.91568402,1.360660603
fitted,1,7,36.81055319,37.369299,1261,7.94,15.37,8.65,0.00039463,0.55874581,27,51,1,1.107378018,1.208436215,2.052036541
Alice,1,7,38.83395419,39.228268,1262,8.65,7.94,10.09,3.80E-07,0.39431381,28,51,1,3.226499067,3.557095518,2.312348154
opened,1,7,39.28013419,39.668074,1263,10.09,8.65,16.96,5.64E-07,0.38793981,29,51,1,0.905228728,2.289327721,1.357460372
the,1,7,39.71994019,39.751884,1264,16.96,10.09,10.89,0.0097436,0.03194381,30,51,0,2.610251508,2.131900609,5.625717829
door,1,7,39.80375019,40.135013,1265,10.89,16.96,16.19,0.008102,0.33126281,31,51,1,1.504428152,1.450167621,4.733433761
and,1,7,40.31858019,40.50617,1266,16.19,10.89,12.21,0.0015137,0.18758981,32,51,0,3.148749339,3.011193032,8.620590713
found,1,7,40.55803619,40.781544,1267,12.21,16.19,15.48,0.0035844,0.22350781,33,51,1,2.410557122,3.094048547,1.515413431
it,1,7,40.83341019,40.881087,1269,15.37,15.48,10.06,0.019077,0.04767681,34,51,0,2.633710964,2.507815037,2.245979805
led,1,7,40.93295319,41.140727,1270,10.06,15.37,13.24,0.010136,0.20777381,35,51,1,1.219911654,1.905120017,1.533550859
into,1,7,41.19259319,41.492816,1271,13.24,10.06,16.18,0.004067,0.30022281,36,51,0,3.166598059,3.033868912,3.653537509
a,1,7,41.54468219,41.547802,1272,16.18,13.24,11.98,0.018594,0.00311981,37,51,0,1.255200496,1.169672786,4.58792094
small,1,7,41.59966819,41.990795,1273,11.98,16.18,9.1,0.0059703,0.39112681,38,51,1,2.414520182,2.475663301,4.503692658
