Order,praatword,distance,surprisal
695,glad,15,6.758553
696,there,15,5.762804
697,was,18,0.787957
698,no,13,2.138627
699,one,17,3.599669
700,listening,19,8.149687
701,this,22,7.608810
702,time,22,2.991074
703,as,16,4.548354
704,it,21,4.084840
705,did,23,3.982733
706,n't,23,3.794102
707,sound,23,4.929059
708,at,22,5.311604
709,all,21,1.865353
710,the,11,4.163816
711,right,26,5.506074
712,word,26,7.217860
713,but,26,5.633049
714,i,9,2.017464
715,shall,23,8.148984
716,have,23,3.067308
717,to,17,1.500212
718,ask,26,4.666130
719,them,27,3.213100
720,what,15,2.945149
721,the,12,3.105960
722,name,9,6.639933
723,of,30,2.121625
724,the,8,1.408826
725,country,20,5.094808
726,is,20,1.168420
727,you,18,7.100549
728,know,21,3.216126
729,please,9,8.030386
730,ma'am,7,5.405800
731,is,11,7.878766
732,this,10,5.423621
733,new,11,6.064592
734,zealand,11,5.840308
735,or,12,4.114475
736,australia,11,5.325930
737,and,9,4.271067
738,she,10,4.509357
739,tried,10,6.907671
740,to,11,0.180233
741,curtsey,8,3.704011
742,as,14,5.737673
743,she,15,2.240763
744,spoke,17,4.243161
745,fancy,17,14.243915
746,curtseying,11,3.280178
747,as,14,4.594887
748,you,18,6.927317
749,'re,19,4.199756
750,falling,20,7.655960
751,through,20,4.371266
752,the,10,1.153216
753,air,22,4.707936
754,do,9,7.025382
755,you,11,1.421954
756,think,12,2.095564
757,you,9,2.511830
758,could,14,3.609977
759,manage,14,7.058478
760,it,15,2.570487
761,and,9,4.271067
762,what,10,4.055421
763,an,10,6.702144
764,ignorant,11,11.449030
765,little,11,5.463036
766,girl,12,3.625595
767,she,10,6.347091
768,'ll,13,4.510888
769,think,13,5.322717
770,me,14,7.599595
771,for,16,4.076004
772,asking,16,9.214933
773,no,9,5.916457
774,it,11,4.968898
775,'ll,12,5.254370
776,never,12,4.475342
777,do,13,4.671783
778,to,13,4.778245
779,ask,15,6.014001
780,perhaps,16,9.765525
781,i,16,4.112875
782,shall,17,7.509680
783,see,17,3.937434
784,it,15,2.555008
785,written,19,10.338190
786,up,19,3.706622
787,somewhere,20,8.251940
788,down,9,10.074752
789,down,11,7.194982
790,down,11,6.910571
791,there,9,4.662240
792,was,10,1.869347
793,nothing,9,3.889707
794,else,12,3.378519
795,to,13,2.167434
796,do,15,1.152012
797,so,16,4.292358
798,alice,17,12.655748
799,soon,12,9.252573
800,began,18,5.068580
801,talking,18,4.429142
802,again,20,6.282800
803,dinah,8,3.404639
804,'ll,11,11.648135
805,miss,11,4.628964
806,me,12,6.066486
807,very,13,6.473213
808,much,13,1.494660
809,to-night,10,5.047375
810,i,14,7.646664
811,should,16,5.926027
812,think,16,4.572545
813,dinah,8,3.404639
814,was,11,3.423988
815,the,8,2.301463
816,cat,12,10.143553
817,i,9,3.636761
818,hope,11,4.235249
819,they,12,3.529839
820,'ll,14,2.473749
821,remember,14,6.623666
822,her,15,5.683927
823,saucer,16,15.023121
824,of,17,5.803127
825,milk,18,10.052590
826,at,12,5.466017
828,time,5,2.174290
829,dinah,8,3.404639
830,my,11,9.637153
831,dear,12,8.010046
832,i,9,3.636761
833,wish,11,5.649305
834,you,11,3.831713
835,were,14,2.316180
836,down,14,6.553075
837,here,15,3.381802
838,with,16,3.804850
839,me,16,4.150704
840,there,9,4.662240
841,are,10,1.629259
842,no,9,2.401569
843,mice,12,11.046565
844,in,12,2.363636
845,the,8,0.942589
846,air,14,4.758472
847,i,14,6.496535
848,'m,17,1.992292
849,afraid,15,4.429681
850,but,16,4.741595
851,you,9,2.620618
852,might,13,4.510208
853,catch,13,7.913643
854,a,6,2.689771
855,bat,15,8.397361
856,and,15,3.095549
857,that,9,4.740571
858,'s,15,0.540303
859,very,12,4.869174
860,like,13,9.365999
861,a,11,3.775446
862,mouse,15,6.908512
863,you,15,4.825209
864,know,18,3.628234
865,but,9,3.348575
866,do,9,6.746874
867,cats,12,12.529960
868,eat,10,6.082649
869,bats,11,8.407071
870,i,12,8.952052
871,wonder,14,6.494352
872,and,9,4.271067
873,here,10,6.448313
874,alice,10,11.149608
875,began,11,6.576682
876,to,9,1.272559
877,get,12,3.649424
878,rather,13,9.189849
879,sleepy,14,8.917666
880,and,14,2.128768
881,went,15,13.044049
882,on,16,2.750215
883,saying,17,8.531021
884,to,18,5.068634
885,herself,20,6.253471
886,in,20,4.445689
887,a,7,2.365593
888,dreamy,20,11.034883
889,sort,20,6.896402
890,of,20,0.793138
891,way,21,4.245896
892,do,22,7.868891
893,cats,21,13.974303
894,eat,21,6.830956
895,bats,21,8.698452
896,do,9,7.025382
897,cats,11,12.845172
898,eat,11,6.156900
899,bats,10,8.417268
900,and,9,4.271067
901,sometimes,10,6.385661
902,do,10,6.246055
903,bats,12,13.070759
904,eat,11,6.172625
905,cats,11,10.206354
906,for,9,4.865667
907,you,10,6.765671
908,see,11,6.628702
909,as,12,6.408791
910,she,13,5.899792
911,could,15,5.512369
912,n't,15,3.485358
913,answer,15,6.269465
914,either,16,8.428761
915,question,17,3.831512
916,it,17,4.347035
917,did,16,5.602952
918,n't,20,0.602529
919,much,20,6.753315
920,matter,21,2.348239
921,which,21,6.058234
922,way,21,3.903560
923,she,21,2.499229
924,put,22,6.740385
925,it,21,2.114080
926,she,9,5.052103
927,felt,11,6.542865
928,that,9,2.420897
929,she,12,2.412750
930,was,14,1.608376
931,dozing,9,4.191553
932,off,15,5.389661
933,and,16,3.161047
934,had,15,3.375035
935,just,10,4.736344
936,begun,16,4.747990
937,to,15,1.054256
938,dream,17,7.705047
939,that,18,4.357371
940,she,18,1.286291
941,was,21,1.515259
942,walking,21,6.352291
943,hand,23,9.553374
944,in,23,2.577488
945,hand,24,6.355101
946,with,25,3.390764
947,dinah,7,3.667549
949,was,27,2.753182
950,saying,27,11.579187
951,to,21,4.231834
952,her,24,2.077048
953,very,30,8.139163
954,earnestly,30,7.089320
955,now,29,7.613314
956,dinah,17,6.168887
957,tell,30,9.425344
958,me,30,1.209056
959,the,10,3.640372
960,truth,31,1.702351
961,did,31,10.834281
962,you,28,2.141531
963,ever,30,3.969134
964,eat,30,5.697920
965,a,12,3.190184
966,bat,31,7.757843
967,when,9,5.134657
968,suddenly,10,9.965304
969,thump,7,3.377628
970,thump,8,3.404639
971,down,9,10.074752
972,she,11,7.346488
973,came,14,5.102946
974,upon,14,6.262624
975,a,7,2.080464
976,heap,13,9.525647
977,of,13,0.371189
978,sticks,9,8.329543
979,and,14,0.908789
980,dry,13,8.489159
981,leaves,15,5.737265
982,and,15,1.505908
983,the,8,4.018288
984,fall,9,8.759727
985,was,16,8.914236
986,over,15,6.304178
987,alice,9,10.852302
988,was,11,4.249450
989,not,10,3.869571
990,a,6,2.298127
991,bit,10,5.294833
992,hurt,11,7.616203
993,and,11,2.947767
994,she,9,8.605633
995,jumped,14,7.838082
996,up,14,3.821905
997,onto,15,3.246878
998,her,11,2.649535
999,feet,17,4.823200
1000,in,17,3.632159
1001,a,6,1.945303
1002,moment,16,6.785090
1003,she,16,4.932157
1004,looked,16,5.460617
1005,up,16,3.492617
1006,but,17,4.811678
1007,it,9,3.195216
1008,was,12,0.797947
1009,all,11,4.815009
1010,dark,13,7.592672
1011,overhead,13,12.122500
1012,before,13,6.405851
1013,her,10,3.609176
1014,was,15,5.438072
1015,another,15,8.086589
1016,long,16,7.545268
1017,passage,16,12.192627
1018,and,16,4.502592
1019,the,7,4.011616
1020,white,16,6.426391
1021,rabbit,16,6.800100
1022,was,16,1.409469
1023,still,12,4.255963
1024,in,13,2.790472
1025,sight,13,5.193581
1026,hurrying,10,7.387081
1027,down,13,5.219464
1028,it,14,5.362601
1029,there,9,4.662240
1030,was,10,1.869347
1031,not,9,4.529861
1032,a,6,1.393792
1033,moment,12,6.290964
1034,to,12,1.942884
1035,be,15,3.078369
1036,lost,16,6.940003
1037,away,17,7.201215
1038,went,18,13.233834
1039,alice,19,10.076653
1040,like,12,9.759061
1041,the,8,2.150107
1042,wind,13,7.144634
1043,and,13,3.131612
1044,was,13,10.226558
1045,just,8,5.006334
1046,in,12,3.999617
1047,time,12,6.410025
1048,to,13,2.009168
1049,hear,16,4.732276
1050,it,17,3.415239
1051,say,18,5.959807
1052,as,16,5.766783
1053,it,19,2.563603
1054,turned,21,3.707941
1055,a,10,4.929074
1056,corner,22,5.362414
1057,oh,22,10.367885
1058,my,19,3.821709
1059,ears,19,9.504399
1060,and,17,3.865904
1061,whiskers,8,3.349812
1062,how,18,9.528097
1063,late,20,7.648728
1064,it,17,3.821681
1065,'s,21,1.986333
1066,getting,21,6.091965
1067,she,9,5.052103
1068,was,11,2.429015
1069,close,10,8.016174
1070,behind,12,7.249085
1071,it,13,5.011517
1072,when,14,3.307863
1073,she,10,1.667039
1074,turned,14,5.570152
1075,the,8,2.875728
1076,corner,14,5.932668
1077,but,15,4.200230
1078,the,8,3.280507
1079,rabbit,10,8.812620
1080,was,15,1.324826
1081,no,14,5.418152
1082,longer,15,1.183192
1083,to,15,5.040347
1084,be,16,1.402103
1085,seen,17,3.788254
1086,she,18,6.557224
1087,found,18,5.677113
1088,herself,18,3.235693
1089,in,13,2.293081
1090,a,7,1.500614
1091,long,14,5.872986
1092,low,14,8.610911
1093,hall,14,10.047771
1094,which,14,5.960965
1095,was,15,1.563146
1096,lit,17,6.693141
1097,up,18,1.657948
1098,by,19,1.428712
1099,a,7,1.626546
1100,row,20,8.447461
1101,of,20,1.506831
1102,lamps,21,12.021012
1103,hanging,22,7.037099
1104,from,23,3.146913
1105,the,8,1.057548
1106,roof,25,4.827301
1107,there,9,4.662240
1108,were,10,2.191649
1109,doors,10,12.022725
1110,all,12,6.645729
1111,round,13,7.984764
1112,the,9,4.361207
1113,hall,14,5.737468
1114,but,14,3.443863
1115,they,9,2.434424
1116,were,10,1.559015
1117,all,9,3.920542
1118,locked,12,7.218493
1119,and,12,4.040069
1120,when,13,5.963947
1121,alice,15,10.304048
1122,had,15,4.224399
1123,been,12,2.572118
1124,all,13,7.830238
1125,the,10,1.631876
1126,way,15,3.963234
1127,down,14,5.879504
1128,one,11,5.691658
1129,side,15,4.895407
1130,and,15,4.271478
1131,up,15,8.529058
1132,the,11,2.889266
1133,other,17,4.672895
1134,trying,17,10.275106
1135,every,15,10.510604
1136,door,14,5.583739
1137,she,14,6.498788
1138,walked,18,6.182216
1139,sadly,18,11.646210
1140,down,15,5.160044
