Order,praatword,distance
766,girl,2.116847
767,she,1.841555
768,'ll,6.460588
769,think,5.005865
770,me,4.299849
771,for,5.163703
772,asking,7.816969
773,no,5.052017
774,it,3.530939
775,'ll,5.769497
776,never,2.789686
777,do,0.886726
778,to,1.258612
779,ask,4.936268
780,perhaps,9.591120
781,i,2.778687
782,shall,2.300911
783,see,3.665870
784,it,2.073252
785,written,11.233896
786,up,4.144274
787,somewhere,6.264965
788,down,8.244247
789,down,6.503353
790,down,4.863544
791,there,3.991291
792,was,0.888577
793,nothing,3.109427
794,else,3.509197
795,to,0.762575
796,do,1.162146
797,so,5.834978
798,alice,8.872545
799,soon,6.062908
800,began,3.005621
801,talking,4.909598
802,again,3.958650
803,dinah,12.539124
804,'ll,5.971055
805,miss,6.549375
806,me,2.166173
807,very,5.269426
808,much,0.854149
809,to-night,7.088284
810,i,3.747553
811,should,4.520548
812,think,2.673922
813,dinah,12.539124
814,was,1.893678
815,the,4.011842
816,cat,5.783132
817,i,2.490530
818,hope,4.622818
819,they,3.573481
820,'ll,1.698858
821,remember,6.472391
822,her,4.541727
823,saucer,13.515650
824,of,3.378522
825,milk,3.630277
826,at,5.122072
828,time,4.778994
829,dinah,12.539124
830,my,7.667665
831,dear,0.952250
832,i,2.490530
833,wish,4.452299
834,you,1.306029
835,were,2.729555
836,down,6.681915
837,here,1.692452
838,with,3.252147
839,me,1.129418
840,there,3.991293
841,are,2.963949
842,no,2.845177
843,mice,6.379025
844,in,1.793722
845,the,0.547968
846,air,5.144529
847,i,4.443419
848,'m,2.873334
849,afraid,1.007206
850,but,3.172905
851,you,2.897027
852,might,5.162875
853,catch,5.284626
854,a,2.415235
855,bat,6.466797
856,and,2.456909
857,that,4.812768
858,'s,0.940855
859,very,4.389560
860,like,6.099139
861,a,1.500103
862,mouse,4.405826
863,you,3.339766
864,know,1.656082
865,but,3.210382
866,do,5.104799
867,cats,12.325442
868,eat,4.121521
869,bats,7.191442
870,i,4.837414
871,wonder,4.190454
872,and,3.203713
873,here,5.307045
874,alice,9.386278
875,began,5.186409
876,to,0.383265
877,get,4.483946
878,rather,5.010424
879,sleepy,4.784180
880,and,1.261280
881,went,5.146679
882,on,2.195246
883,saying,5.345608
884,to,2.974729
885,herself,0.232447
886,in,4.000288
887,a,1.097015
888,dreamy,5.497319
889,sort,2.025990
890,of,0.035929
891,way,0.170177
892,do,3.543024
893,cats,12.027861
894,eat,3.721114
895,bats,6.515558
896,do,5.034885
897,cats,12.206367
898,eat,3.788681
899,bats,6.895520
900,and,3.203713
901,sometimes,6.446007
902,do,7.426694
903,bats,12.018450
904,eat,5.680758
905,cats,5.981524
906,for,4.946390
907,you,4.943608
908,see,2.717187
909,as,4.863636
910,she,3.533976
911,could,6.409899
912,n't,1.593357
913,answer,6.120130
914,either,5.722193
915,question,5.358136
916,it,3.814280
917,did,4.068181
918,n't,0.544920
919,much,7.245515
920,matter,0.249792
921,which,6.136019
922,way,1.367974
923,she,1.731236
924,put,4.941604
925,it,1.424555
926,she,2.449945
927,felt,3.808882
928,that,1.783262
929,she,1.078544
930,was,1.420853
931,dozing,9.720286
932,off,4.524542
933,and,2.038429
934,had,4.175459
935,just,5.114037
936,begun,3.193554
937,to,0.524651
938,dream,4.351072
939,that,2.394903
940,she,1.221928
941,was,1.322096
942,walking,5.565449
943,hand,9.684713
944,in,1.081047
945,hand,0.041574
946,with,3.418653
947,dinah,10.740815
949,was,2.482656
950,saying,5.910369
951,to,2.836209
952,her,2.191536
953,very,5.992911
954,earnestly,2.790052
955,now,4.196435
956,dinah,11.142934
957,tell,5.555013
958,me,0.263927
959,the,3.847062
960,truth,2.206371
961,did,6.623882
962,you,1.096313
963,ever,1.654242
964,eat,5.138798
965,a,2.570199
966,bat,8.555165
967,when,4.617810
968,suddenly,7.260945
969,thump,13.025887
970,thump,14.354057
971,down,8.244247
972,she,4.853370
973,came,3.339130
974,upon,4.195467
975,a,2.055174
976,heap,6.559938
977,of,0.065369
978,sticks,4.488718
979,and,1.141896
980,dry,6.913877
981,leaves,3.779670
982,and,1.308357
983,the,3.635609
984,fall,9.488264
985,was,2.705962
986,over,5.110784
