Order,praatword,distance
1185,to,0.162899
1186,one,5.351773
1187,of,0.915825
1188,the,0.621077
1189,doors,6.840248
1190,of,2.280137
1191,the,0.738002
1192,hall,5.790917
1193,but,4.698150
1194,alas,10.003019
1195,either,8.975829
1196,the,1.972288
1197,locks,10.053142
1198,were,1.314892
1199,too,5.827780
1200,large,2.924606
1201,or,1.540089
1202,the,4.440983
1203,key,7.559721
1204,was,2.112293
1205,too,4.241734
1206,small,2.886756
1207,but,3.893950
1208,at,5.215179
1209,any,4.231027
1210,rate,0.128542
1211,it,1.870689
1212,would,2.083885
1213,not,1.857071
1214,open,6.216770
1215,any,5.827177
1216,of,3.632474
1217,them,0.804104
1218,however,6.953750
1219,on,5.427795
1220,the,0.949586
1221,second,5.394255
1222,time,5.739117
1223,round,10.765347
1224,she,2.737925
1225,came,4.032286
1226,upon,3.844675
1227,a,2.144518
1228,low,3.960884
1229,curtain,7.939506
1230,she,5.782504
1231,had,1.740008
1232,not,3.283973
1233,noticed,2.371513
1234,before,2.136826
1235,and,1.771250
1236,behind,7.181723
1237,it,0.707661
1238,was,2.058105
1239,a,0.729225
1240,little,4.182524
1241,door,4.100692
1242,about,7.862877
1243,fifteen,8.344744
1244,inches,2.996778
1245,high,2.046930
1246,she,5.200106
1247,tried,7.780796
1248,the,4.417050
1249,little,5.619069
1250,golden,9.034641
1251,key,2.964898
1252,in,2.364336
1253,the,0.800592
1254,lock,2.500265
1255,and,1.374961
1256,to,6.361925
1257,her,3.290863
1258,great,4.505713
1259,delight,1.758898
1260,it,3.280643
1261,fitted,8.311612
1262,alice,8.048592
1263,opened,6.482530
1264,the,1.048374
1265,door,0.398945
1266,and,0.917559
1267,found,4.584562
1268,that,2.646166
1269,it,2.385824
1270,led,7.593756
1271,into,2.967552
1272,a,2.231871
1273,small,3.661692
1274,passage,4.550186
1275,not,6.220428
1276,much,4.350671
1277,larger,1.783401
1278,than,0.057343
1279,a,2.567103
1281,hole,5.448836
1282,she,6.385162
1283,knelt,10.698695
1284,down,1.480602
1285,and,2.177813
1286,looked,3.093552
1287,along,6.608575
1288,the,0.884165
1289,passage,2.810301
1290,into,5.776701
1291,the,0.314024
1292,loveliest,12.800926
1293,garden,2.690368
1294,you,8.621479
1295,ever,2.156672
1296,saw,0.232307
1297,how,5.022488
1298,she,4.055933
1299,longed,3.804368
1300,to,0.332173
1301,get,2.740295
1302,out,2.695789
1303,of,0.751501
1304,that,3.678988
1305,dark,5.953691
1306,hall,6.008863
1307,and,2.139600
1308,wander,8.832434
1309,about,1.771567
1310,among,3.833558
1311,those,2.584053
1312,beds,5.144012
1313,of,2.237638
1314,bright,6.662199
1315,flowers,5.112134
1316,and,1.443533
1317,those,6.244770
1318,cool,8.256520
1319,fountains,8.425879
1320,but,5.792068
1321,she,2.281217
1322,could,2.647726
1323,not,0.848461
1324,even,4.330650
1325,get,3.039990
1326,her,3.462276
1327,head,4.075768
1328,through,6.141955
1329,the,1.163181
1330,doorway,7.339205
1331,and,1.750435
1332,even,5.781041
1333,if,2.565965
1334,my,8.774327
1335,head,4.802779
1336,would,2.892976
1337,go,3.081421
1338,through,5.566900
1339,thought,8.791334
1340,poor,7.570280
1341,alice,9.068591
1342,it,3.160591
1343,would,0.849550
1344,be,0.839855
1345,of,6.635793
1346,very,4.514574
1347,little,2.291367
1348,use,0.318325
1349,without,6.803906
1350,my,4.119062
1351,shoulders,10.107884
1352,oh,4.520454
1353,how,3.104383
1354,i,3.723556
1355,wish,1.289502
1356,i,1.009880
1357,could,0.864620
1358,shut,8.961199
1359,up,2.198761
1360,like,6.496449
1361,a,1.439695
1362,telescope,11.346077
1363,i,2.495077
1364,think,3.641297
1365,i,1.526871
1366,could,4.335341
1367,if,6.596878
1368,i,0.748592
1369,only,5.567156
1370,knew,1.526922
1371,how,2.058104
1372,to,0.931213
1373,begin,3.661798
1374,for,4.965307
1375,you,4.961650
1376,see,2.740006
1377,so,6.606341
1378,many,1.589883
1382,way,4.600911
1383,things,5.285693
1384,had,6.392347
1385,happened,1.377437
1386,lately,5.734437
1387,that,2.786160
1388,alice,9.206935
1389,had,1.921576
1390,begun,4.580709
1391,to,0.481085
1392,think,2.427406
1393,that,2.049836
1394,very,6.934670
1395,few,3.907276
1396,things,1.840938
1397,indeed,8.676695
1398,were,1.897991
1399,really,4.030829
1400,impossible,5.395670
1401,there,4.011642
1402,seemed,4.795407
1403,to,0.657691
1404,be,0.192381
1405,no,1.130836
1406,use,4.584037
1407,in,0.565860
1408,waiting,6.976925
1409,by,6.738644
1410,the,0.717437
1411,little,5.215838
1412,door,6.971235
1413,so,4.846148
1414,she,2.710870
1415,went,3.492158
1416,back,2.871054
1417,to,0.475304
1418,the,0.808973
1419,table,3.755613
1420,half,8.579380
1421,hoping,5.704462
1422,she,4.046814
1423,might,2.700626
1424,find,3.397018
1425,another,4.491324
1426,key,4.305354
1427,on,4.090268
1428,it,2.781134
1429,or,5.058381
1430,at,3.184619
1431,any,1.750681
1432,rate,0.031176
1433,a,3.598062
1434,book,4.592860
1435,of,2.798678
1436,rules,10.959921
1437,for,3.760623
1438,shutting,12.647263
1439,people,9.761909
1440,up,3.626297
1441,like,6.078483
1442,telescopes,5.511822
1443,this,7.027160
1444,time,3.107709
1445,she,4.150283
1446,found,3.700188
1447,a,3.333887
1448,little,3.414883
1449,bottle,6.980202
1450,on,4.446354
1451,it,2.885932
1452,which,4.307192
1453,certainly,7.525264
1454,was,1.042778
1455,not,1.542165
1456,here,8.195536
1457,before,4.908665
1458,said,7.993990
