AUDIOTEXT,Trigger,segment,tmin,Order,LexFunc
glad,1,4,49.69995463,695,1
there,1,4,49.96335663,696,0
was,1,4,50.09505663,697,0
no,1,4,50.44226763,698,0
one,1,4,50.56199563,699,0
listening,1,4,50.76290263,700,1
this,1,4,51.24444463,701,0
time,1,4,51.45995463,702,1
as,1,4,51.92689363,703,0
it,1,4,52.06513863,704,0
did,1,4,52.20226763,705,0
nt,1,4,52.37652063,706,0
sound,1,4,52.48961463,707,1
at,1,4,52.87317663,708,0
all,1,4,52.97145863,709,0
the,1,4,53.21995463,710,0
right,1,4,53.33968263,711,1
word,1,4,53.61505663,712,1
but,1,4,55.17151963,713,0
I,1,4,55.23582963,714,0
shall,1,4,55.40110663,715,0
have,1,4,55.60253963,716,0
to,1,4,55.77015863,717,0
ask,1,4,55.92580563,718,1
them,1,4,56.21315163,719,0
what,1,4,56.38657763,720,0
the,1,4,56.57233563,721,0
name,1,4,56.73995463,722,1
of,1,4,56.96743763,723,0
the,1,4,57.03927463,724,0
country,1,4,57.11111163,725,1
is,1,4,57.60199563,726,0
you,1,4,57.86539663,727,0
know,1,4,57.99709763,728,1
Please,1,4,59.03873063,729,1
Maam,1,4,59.37396863,730,1
is,1,4,60.03247163,731,0
this,1,4,60.27228563,732,0
New,1,4,60.51457663,733,1
Zealand,1,4,60.62911563,734,1
or,1,4,61.23515563,735,0
Australia,1,4,61.40908963,736,1
and,1,4,63.22920663,737,0
she,1,4,63.28054363,738,0
tried,1,4,63.46866263,739,1
to,1,4,63.74156763,740,0
curtsey,1,4,63.80390063,741,1
as,1,4,64.32668563,742,0
she,1,4,64.41084863,743,0
spoke,1,4,64.56802363,744,1
fancy,1,4,65.36036263,745,1
curtseying,1,4,65.79138363,746,1
as,1,4,66.51241563,747,0
you,1,4,66.65526763,748,0
re,1,4,66.73779663,749,0
falling,1,4,66.85223063,750,1
through,1,4,67.25244963,751,0
the,1,4,67.44362863,752,0
air,1,4,67.65913863,753,1
Do,1,4,68.03985163,754,0
you,1,4,68.15456663,755,0
think,1,4,68.26278763,756,1
you,1,4,68.43736963,757,0
could,1,4,68.59301563,758,0
manage,1,4,68.76063463,759,1
it,1,4,69.12991863,760,0
And,1,5,0.561145631,761,0
what,1,5,0.689847173,762,0
an,1,5,0.936113173,763,0
ignorant,1,5,1.115705173,764,1
little,1,5,1.618562173,765,1
girl,1,5,1.858018173,766,1
she,1,5,2.107547173,767,0
ll,1,5,2.220976173,768,0
think,1,5,2.312984173,769,1
me,1,5,2.528494173,770,0
for,1,5,2.648222173,771,0
asking,1,5,2.847481173,772,1
No,1,5,4.108902173,773,0
it,1,5,4.527950173,774,0
ll,1,5,4.666011173,775,0
never,1,5,4.803324173,776,1
do,1,5,5.126589173,777,0
to,1,5,5.261374173,778,0
ask,1,5,5.371760173,779,1
perhaps,1,5,6.383732173,780,1
I,1,5,6.833959173,781,0
shall,1,5,6.910535173,782,0
see,1,5,7.113220173,783,1
it,1,5,7.305637173,784,0
written,1,5,7.437338173,785,1
up,1,5,7.704109173,786,0
somewhere,1,5,7.877263173,787,0
Down,1,5,9.664277173,788,0
down,1,5,10.26291617,789,0
down,1,5,10.81366417,790,0
There,1,5,11.98699817,791,0
was,1,5,12.15461717,792,0
nothing,1,5,12.32223617,793,0
else,1,5,12.71894017,794,1
to,1,5,13.01979617,795,0
do,1,5,13.13638517,796,1
so,1,5,13.45965117,797,0
Alice,1,5,13.66318817,798,1
soon,1,5,14.08223617,799,1
began,1,5,14.32169217,800,1
talking,1,5,14.64495717,801,1
again,1,5,15.19176917,802,0
Dinah,1,5,16.79702417,803,1
ll,1,5,17.12403517,804,0
miss,1,5,17.31648717,805,1
me,1,5,17.64764417,806,0
very,1,5,17.80577317,807,1
much,1,5,18.18890217,808,0
tonight,1,5,18.56005917,809,1
I,1,5,18.92607117,810,0
should,1,5,19.00305217,811,0
think,1,5,19.31350417,812,1
Dinah,1,5,20.90959317,813,1
was,1,5,21.25590217,814,0
the,1,5,21.48749517,815,0
cat,1,5,21.59138817,816,1
I,1,5,23.12299917,817,0
hope,1,5,23.22256217,818,1
they,1,5,23.45848517,819,0
ll,1,5,23.56870017,820,0
remember,1,5,23.64895517,821,1
her,1,5,24.04359617,822,0
saucer,1,5,24.15261217,823,1
of,1,5,24.61147117,824,0
milk,1,5,24.73801817,825,1
at,1,5,25.07249417,826,0
tea,1,5,25.18504417,827,1
time,1,5,25.48033117,828,1
Dinah,1,5,26.76141917,829,1
my,1,5,27.09665817,830,0
dear,1,5,27.26427717,831,1
I,1,5,27.51271417,832,0
wish,1,5,27.59951517,833,1
you,1,5,27.92278017,834,0
were,1,5,28.03053517,835,0
down,1,5,28.13829017,836,0
here,1,5,28.47352817,837,0
with,1,5,28.66509317,838,0
me,1,5,29.01230417,839,0
There,1,5,29.89829017,840,0
are,1,5,30.06590917,841,0
no,1,5,30.10182817,842,0
mice,1,5,30.34671017,843,1
in,1,5,30.73638517,844,0
the,1,5,30.82019517,845,0
air,1,5,30.97584117,846,1
I,1,5,31.20165917,847,0
m,1,5,31.26007417,848,0
afraid,1,5,31.34018317,849,1
but,1,5,31.75407217,850,0
you,1,5,31.96958317,851,0
might,1,5,32.06536517,852,0
catch,1,5,32.33718017,853,1
a,1,5,32.58019517,854,0
bat,1,5,32.65203217,855,1
and,1,5,33.74155517,856,0
that,1,5,33.84931117,857,0
